no,group,x,y
1,inspect_slot,5025,1465
2,inspect_slot,5145,1465
3,inspect_slot,5275,1465
4,inspect_slot,5025,1650
5,inspect_slot,5145,1650
6,inspect_slot,5275,1650
7,inspect_slot,5025,1830
8,inspect_slot,5145,1830
9,inspect_slot,5275,1830
10,inspect_slot,5025,2020
11,inspect_slot,5145,2020
12,inspect_slot,5275,2020
13,inspect_slot,5025,2205
14,inspect_slot,5145,2205
15,inspect_slot,5275,2205
16,inspect_slot,5025,2375
17,inspect_slot,5145,2375
18,inspect_slot,5275,2375
19,inspect_slot,5025,2490
20,inspect_slot,5145,2490
21,inspect_slot,5275,2490
22,inspect_slot,5565,1465
23,inspect_slot,5690,1465
24,inspect_slot,5825,1465
25,inspect_slot,5950,1465
26,inspect_slot,6090,1465
27,inspect_slot,5565,1655
28,inspect_slot,5690,1655
29,inspect_slot,5825,1655
30,inspect_slot,5950,1655
31,inspect_slot,6090,1655
32,inspect_slot,5565,1830
33,inspect_slot,5690,1830
34,inspect_slot,5825,1830
35,inspect_slot,5950,1830
36,inspect_slot,6090,1830
37,sort_slot,6350,2020
38,sort_slot,6485,2020
39,sort_slot,6350,2140
40,sort_slot,6485,2140
41,sort_slot,6350,2275
42,sort_slot,6485,2275
43,sort_slot,6350,2415
44,sort_slot,6485,2415
45,sort_slot,6350,2530
46,sort_slot,6485,2530
47,put_away_2f_3f,6535,1910
48,put_away_2f_3f,6665,1910
49,put_away_2f_3f,6770,1910
50,put_away_2f_3f,6890,1910
51,put_away_2f_3f,6665,2020
52,put_away_2f_3f,6890,2020
53,put_away_2f_3f,6665,2140
54,put_away_2f_3f,6770,2140
55,put_away_2f_3f,6890,2140
56,put_away_2f_3f,6665,2255
57,put_away_2f_3f,6770,2255
58,put_away_2f_3f,6890,2255
59,put_away_2f_3f,6665,2430
60,put_away_2f_3f,6770,2430
61,put_away_2f_3f,6890,2430
62,put_away_2f_3f,6665,2550
63,put_away_2f_3f,6770,2550
64,put_away_2f_3f,6890,2550
65,put_away_4f_5f,6390,1410
66,put_away_4f_5f,6515,1410
67,put_away_4f_5f,6640,1410
68,put_away_4f_5f,6760,1410
69,put_away_4f_5f,6900,1410
70,put_away_4f_5f,6390,1525
71,put_away_4f_5f,6515,1525
72,put_away_4f_5f,6640,1525
73,put_away_4f_5f,6760,1525
74,put_away_4f_5f,6900,1525
75,put_away_4f_5f,6390,1640
76,put_away_4f_5f,6515,1640
77,put_away_4f_5f,6640,1640
78,put_away_4f_5f,6760,1640
79,put_away_4f_5f,6900,1640
